"year","month","day","owli","owlt","dir","zyk950","zyk500","hum","ts","time"
1979,10,30,11,"XXAZT","'XX'","'A'","'Z'","'T'",1979.8725,"1979-10-30 00:00:00"
1979,10,31,6,"XXAAF","'XX'","'A'","'A'","'F'",1979.8752,"1979-10-31 00:00:00"
1979,11,1,25,"NWZAT","'NW'","'Z'","'A'","'T'",1979.8764,"1979-11-1 00:00:00"
1979,11,2,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1979.8791,"1979-11-2 00:00:00"
1979,11,3,2,"NOAAT","'NO'","'A'","'A'","'T'",1979.8818,"1979-11-3 00:00:00"
1979,11,4,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.8846,"1979-11-4 00:00:00"
1979,11,5,34,"SWZZT","'SW'","'Z'","'Z'","'T'",1979.8873,"1979-11-5 00:00:00"
1979,11,6,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.8901,"1979-11-6 00:00:00"
1979,11,7,14,"SWAZT","'SW'","'A'","'Z'","'T'",1979.8928,"1979-11-7 00:00:00"
1979,11,8,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.8955,"1979-11-8 00:00:00"
1979,11,9,14,"SWAZT","'SW'","'A'","'Z'","'T'",1979.8983,"1979-11-9 00:00:00"
1979,11,10,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.901,"1979-11-10 00:00:00"
1979,11,11,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.9038,"1979-11-11 00:00:00"
1979,11,12,24,"SWZAT","'SW'","'Z'","'A'","'T'",1979.9065,"1979-11-12 00:00:00"
1979,11,13,34,"SWZZT","'SW'","'Z'","'Z'","'T'",1979.9092,"1979-11-13 00:00:00"
1979,11,14,34,"SWZZT","'SW'","'Z'","'Z'","'T'",1979.912,"1979-11-14 00:00:00"
1979,11,15,33,"SOZZT","'SO'","'Z'","'Z'","'T'",1979.9147,"1979-11-15 00:00:00"
1979,11,16,34,"SWZZT","'SW'","'Z'","'Z'","'T'",1979.9175,"1979-11-16 00:00:00"
1979,11,17,14,"SWAZT","'SW'","'A'","'Z'","'T'",1979.9202,"1979-11-17 00:00:00"
1979,11,18,19,"SWAZF","'SW'","'A'","'Z'","'F'",1979.9229,"1979-11-18 00:00:00"
1979,11,19,16,"XXAZF","'XX'","'A'","'Z'","'F'",1979.9257,"1979-11-19 00:00:00"
1979,11,20,12,"NOAZT","'NO'","'A'","'Z'","'T'",1979.9284,"1979-11-20 00:00:00"
1979,11,21,12,"NOAZT","'NO'","'A'","'Z'","'T'",1979.9312,"1979-11-21 00:00:00"
1979,11,22,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.9339,"1979-11-22 00:00:00"
1979,11,23,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.9366,"1979-11-23 00:00:00"
1979,11,24,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.9394,"1979-11-24 00:00:00"
1979,11,25,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.9421,"1979-11-25 00:00:00"
1979,11,26,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9449,"1979-11-26 00:00:00"
1979,11,27,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9476,"1979-11-27 00:00:00"
1979,11,28,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9503,"1979-11-28 00:00:00"
1979,11,29,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9531,"1979-11-29 00:00:00"
1979,11,30,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9558,"1979-11-30 00:00:00"
1979,12,1,19,"SWAZF","'SW'","'A'","'Z'","'F'",1979.9597,"1979-12-1 00:00:00"
1979,12,2,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9624,"1979-12-2 00:00:00"
1979,12,3,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9652,"1979-12-3 00:00:00"
1979,12,4,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.9679,"1979-12-4 00:00:00"
1979,12,5,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.9707,"1979-12-5 00:00:00"
1979,12,6,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.9734,"1979-12-6 00:00:00"
1979,12,7,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.9761,"1979-12-7 00:00:00"
1979,12,8,29,"SWZAF","'SW'","'Z'","'A'","'F'",1979.9789,"1979-12-8 00:00:00"
1979,12,9,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.9816,"1979-12-9 00:00:00"
1979,12,10,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.9844,"1979-12-10 00:00:00"
1979,12,11,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.9871,"1979-12-11 00:00:00"
1979,12,12,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.9898,"1979-12-12 00:00:00"
1979,12,13,25,"NWZAT","'NW'","'Z'","'A'","'T'",1979.9926,"1979-12-13 00:00:00"
1979,12,14,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.9953,"1979-12-14 00:00:00"
1979,12,15,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.9981,"1979-12-15 00:00:00"
1979,12,16,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.0008,"1979-12-16 00:00:00"
1979,12,17,30,"NWZAF","'NW'","'Z'","'A'","'F'",1980.0035,"1979-12-17 00:00:00"
1979,12,18,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.0063,"1979-12-18 00:00:00"
1979,12,19,31,"XXZZT","'XX'","'Z'","'Z'","'T'",1980.009,"1979-12-19 00:00:00"
1979,12,20,31,"XXZZT","'XX'","'Z'","'Z'","'T'",1980.0118,"1979-12-20 00:00:00"
1979,12,21,13,"SOAZT","'SO'","'A'","'Z'","'T'",1980.0145,"1979-12-21 00:00:00"
1979,12,22,28,"SOZAF","'SO'","'Z'","'A'","'F'",1980.0172,"1979-12-22 00:00:00"
1979,12,23,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.02,"1979-12-23 00:00:00"
1979,12,24,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.0227,"1979-12-24 00:00:00"
1979,12,25,14,"SWAZT","'SW'","'A'","'Z'","'T'",1980.0255,"1979-12-25 00:00:00"
1979,12,26,4,"SWAAT","'SW'","'A'","'A'","'T'",1980.0282,"1979-12-26 00:00:00"
1979,12,27,4,"SWAAT","'SW'","'A'","'A'","'T'",1980.0309,"1979-12-27 00:00:00"
1979,12,28,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.0337,"1979-12-28 00:00:00"
1979,12,29,34,"SWZZT","'SW'","'Z'","'Z'","'T'",1980.0364,"1979-12-29 00:00:00"
1979,12,30,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.0392,"1979-12-30 00:00:00"
1979,12,31,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.0419,"1979-12-31 00:00:00"
1980,1,1,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.043,"1980-1-1 00:00:00"
1980,1,2,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.0458,"1980-1-2 00:00:00"
1980,1,3,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.0485,"1980-1-3 00:00:00"
1980,1,4,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.0513,"1980-1-4 00:00:00"
1980,1,5,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.054,"1980-1-5 00:00:00"
1980,1,6,31,"XXZZT","'XX'","'Z'","'Z'","'T'",1980.0567,"1980-1-6 00:00:00"
1980,1,7,31,"XXZZT","'XX'","'Z'","'Z'","'T'",1980.0595,"1980-1-7 00:00:00"
1980,1,8,11,"XXAZT","'XX'","'A'","'Z'","'T'",1980.0622,"1980-1-8 00:00:00"
1980,1,9,11,"XXAZT","'XX'","'A'","'Z'","'T'",1980.065,"1980-1-9 00:00:00"
1980,1,10,31,"XXZZT","'XX'","'Z'","'Z'","'T'",1980.0677,"1980-1-10 00:00:00"
1980,1,11,12,"NOAZT","'NO'","'A'","'Z'","'T'",1980.0704,"1980-1-11 00:00:00"
1980,1,12,12,"NOAZT","'NO'","'A'","'Z'","'T'",1980.0732,"1980-1-12 00:00:00"
1980,1,13,1,"XXAAT","'XX'","'A'","'A'","'T'",1980.0759,"1980-1-13 00:00:00"
1980,1,14,4,"SWAAT","'SW'","'A'","'A'","'T'",1980.0787,"1980-1-14 00:00:00"
1980,1,15,1,"XXAAT","'XX'","'A'","'A'","'T'",1980.0814,"1980-1-15 00:00:00"
1980,1,16,1,"XXAAT","'XX'","'A'","'A'","'T'",1980.0841,"1980-1-16 00:00:00"
1980,1,17,1,"XXAAT","'XX'","'A'","'A'","'T'",1980.0869,"1980-1-17 00:00:00"
1980,1,18,3,"SOAAT","'SO'","'A'","'A'","'T'",1980.0896,"1980-1-18 00:00:00"
1980,1,19,3,"SOAAT","'SO'","'A'","'A'","'T'",1980.0924,"1980-1-19 00:00:00"
1980,1,20,24,"SWZAT","'SW'","'Z'","'A'","'T'",1980.0951,"1980-1-20 00:00:00"
1980,1,21,4,"SWAAT","'SW'","'A'","'A'","'T'",1980.0978,"1980-1-21 00:00:00"
1980,1,22,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.1006,"1980-1-22 00:00:00"
1980,1,23,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.1033,"1980-1-23 00:00:00"
1980,1,24,40,"NWZZF","'NW'","'Z'","'Z'","'F'",1980.1061,"1980-1-24 00:00:00"
1980,1,25,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.1088,"1980-1-25 00:00:00"
1980,1,26,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.1115,"1980-1-26 00:00:00"
1980,1,27,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.1143,"1980-1-27 00:00:00"
1980,1,28,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.117,"1980-1-28 00:00:00"
1980,1,29,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.1197,"1980-1-29 00:00:00"
1980,1,30,29,"SWZAF","'SW'","'Z'","'A'","'F'",1980.1225,"1980-1-30 00:00:00"
1980,1,31,29,"SWZAF","'SW'","'Z'","'A'","'F'",1980.1252,"1980-1-31 00:00:00"
1980,2,1,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1980.1264,"1980-2-1 00:00:00"
1980,2,2,29,"SWZAF","'SW'","'Z'","'A'","'F'",1980.1291,"1980-2-2 00:00:00"
1980,2,3,14,"SWAZT","'SW'","'A'","'Z'","'T'",1980.1318,"1980-2-3 00:00:00"
1980,2,4,20,"NWAZF","'NW'","'A'","'Z'","'F'",1980.1346,"1980-2-4 00:00:00"
1980,2,5,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.1373,"1980-2-5 00:00:00"
1980,2,6,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.1401,"1980-2-6 00:00:00"
1980,2,7,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.1428,"1980-2-7 00:00:00"
1980,2,8,10,"NWAAF","'NW'","'A'","'A'","'F'",1980.1455,"1980-2-8 00:00:00"
1980,2,9,29,"SWZAF","'SW'","'Z'","'A'","'F'",1980.1483,"1980-2-9 00:00:00"
1980,2,10,29,"SWZAF","'SW'","'Z'","'A'","'F'",1980.151,"1980-2-10 00:00:00"
1980,2,11,20,"NWAZF","'NW'","'A'","'Z'","'F'",1980.1538,"1980-2-11 00:00:00"
1980,2,12,10,"NWAAF","'NW'","'A'","'A'","'F'",1980.1565,"1980-2-12 00:00:00"
1980,2,13,10,"NWAAF","'NW'","'A'","'A'","'F'",1980.1592,"1980-2-13 00:00:00"
1980,2,14,10,"NWAAF","'NW'","'A'","'A'","'F'",1980.162,"1980-2-14 00:00:00"
1980,2,15,10,"NWAAF","'NW'","'A'","'A'","'F'",1980.1647,"1980-2-15 00:00:00"
1980,2,16,40,"NWZZF","'NW'","'Z'","'Z'","'F'",1980.1675,"1980-2-16 00:00:00"
1980,2,17,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.1702,"1980-2-17 00:00:00"
1980,2,18,1,"XXAAT","'XX'","'A'","'A'","'T'",1980.1729,"1980-2-18 00:00:00"
1980,2,19,3,"SOAAT","'SO'","'A'","'A'","'T'",1980.1757,"1980-2-19 00:00:00"
1980,2,20,3,"SOAAT","'SO'","'A'","'A'","'T'",1980.1784,"1980-2-20 00:00:00"
